"","X.1","X","Region","Site","Block","Circle","Block.ID","Latitude","Longitude","landuse","Last_fire.yr","Fire_frequency.2000_2017.x","MAP.mm_yr","AhorC.kg_m2","AhorN.kg_m2","livestock","wild","total.dung","Livestock.bm","MinC.kg_m2","MinN.kg_m2","tot.C.kg_m2","tot.N.kg_m2","mean.N.kg_m2.x","Clay","Silt","Sand","Class.x","mean.N.kg_m2.y","Total.basal.area_m2","TreeBM.kg_m2","No.trees_m2","Small.N","Small.N.non","Large.N","Large.N.non","BM.Large.N.m2","BM.Large.non.m2","BM.Small.N.m2","BM.Small.non.m2","N.trees","BM.N.trees.m2","non.N.trees","BM.non.N.trees.m2","climate","fMAP","Shrubbiness","fShrubbiness","CN","Shrubbiness2"
"59",59,59,"Handajega",4,3,3,15,-2.280651481,34.02848119,"Wild",2014,9,1279.26,1.48,0.09,0.461538461538462,5.26923076923077,5.73076923076923,1748.529253,2.1,0.19,3.58,0.28,0.14,21.17,19.17,59.67,"SaClLo",0.1425,0.1478292,0.3602870672844,0.0068,1,1,NA,2,NA,0.072576550732,0.0004662031012,0.0004387635884,1,0.0004662031012,3,0.0730153143204,"Wet",717,16.6859982954271,17,12.7857142857143,0.00667439931817085
"60",60,60,"Handajega",4,3,4,15,-2.280597168,34.0285351,"Wild",2014,9,1279.26,1.22,0.07,0.461538461538462,5.26923076923077,5.73076923076923,1748.529253,2.1,0.2,3.32,0.27,0.135,21.17,19.17,59.67,"SaClLo",0.1425,0.1478292,0.3602870672844,0.0068,1,1,NA,2,NA,0.072576550732,0.0004662031012,0.0004387635884,1,0.0004662031012,3,0.0730153143204,"Wet",717,16.6859982954271,17,12.2962962962963,0.00667439931817085
"61",61,61,"Handajega",4,4,1,16,-2.281344915,34.03277105,"Wild",2016,13,1279.26,1.15,0.08,1,3.92307692307692,4.92307692307692,672.4016528,3.02,0.31,4.17,0.39,0.195,24.44,19.99,55.57,"SaClLo",0.19,0.3488504,1.1305021999872,0.004,3,NA,1,NA,0.29804895312,NA,0.0016523927524,NA,4,0.2997013458724,0,0,"Wet",717,6.94216986177304,7,10.6923076923077,NA
"62",62,62,"Handajega",4,4,2,16,-2.281299576,34.03292389,"Wild",2016,13,1279.26,1.78,0.12,1,3.92307692307692,4.92307692307692,672.4016528,2.3,0.23,4.08,0.35,0.175,24.44,19.99,55.57,"SaClLo",0.19,0.3488504,1.1305021999872,0.004,3,NA,1,NA,0.29804895312,NA,0.0016523927524,NA,4,0.2997013458724,0,0,"Wet",717,6.94216986177304,7,11.6571428571429,NA
"63",63,63,"Handajega",4,4,3,16,-2.281616189,34.03290613,"Wild",2016,13,1279.26,1.63,0.11,1,3.92307692307692,4.92307692307692,672.4016528,2.88,0.28,4.51,0.39,0.195,24.44,19.99,55.57,"SaClLo",0.19,0.3488504,1.1305021999872,0.004,3,NA,1,NA,0.29804895312,NA,0.0016523927524,NA,4,0.2997013458724,0,0,"Wet",717,6.94216986177304,7,11.5641025641026,NA
"64",64,64,"Handajega",4,4,4,16,-2.28139904,34.03297791,"Wild",2016,13,1279.26,0.83,0.06,1,3.92307692307692,4.92307692307692,672.4016528,3.08,0.33,3.91,0.39,0.195,24.44,19.99,55.57,"SaClLo",0.19,0.3488504,1.1305021999872,0.004,3,NA,1,NA,0.29804895312,NA,0.0016523927524,NA,4,0.2997013458724,0,0,"Wet",717,6.94216986177304,7,10.025641025641,NA
"65",65,65,"Seronera",5,1,1,17,-2.441990376,34.83916365,"Wild",2016,4,855.62,0.63,0.04,NA,NA,NA,NA,2.75,0.32,3.38,0.36,0.18,28.22,18.19,53.59,"SaClLo",0.17875,8.2e-06,0.0007551682584,0.0012,2,1,NA,NA,NA,NA,0.0004503407648,0.0003048274936,2,0.0004503407648,1,0.0003048274936,"IntDry",856,4.66816579935673,5,9.38888888888889,0.00186726631974269
"66",66,66,"Seronera",5,1,2,17,-2.442062592,34.83925365,"Wild",2016,4,855.62,0.73,0.07,NA,NA,NA,NA,1.74,0.21,2.47,0.28,0.14,28.22,18.19,53.59,"SaClLo",0.17875,8.2e-06,0.0007551682584,0.0012,2,1,NA,NA,NA,NA,0.0004503407648,0.0003048274936,2,0.0004503407648,1,0.0003048274936,"IntDry",856,4.66816579935673,5,8.82142857142857,0.00186726631974269
"67",67,67,"Seronera",5,1,3,17,-2.44209875,34.83926269,"Wild",2016,4,855.62,1.16,0.11,NA,NA,NA,NA,2.13,0.26,3.29,0.37,0.185,28.22,18.19,53.59,"SaClLo",0.17875,8.2e-06,0.0007551682584,0.0012,2,1,NA,NA,NA,NA,0.0004503407648,0.0003048274936,2,0.0004503407648,1,0.0003048274936,"IntDry",856,4.66816579935673,5,8.89189189189189,0.00186726631974269
"68",68,68,"Seronera",5,1,4,17,-2.442153091,34.83919984,"Wild",2016,4,855.62,0.76,0.07,NA,NA,NA,NA,3.15,0.35,3.91,0.42,0.21,28.22,18.19,53.59,"SaClLo",0.17875,8.2e-06,0.0007551682584,0.0012,2,1,NA,NA,NA,NA,0.0004503407648,0.0003048274936,2,0.0004503407648,1,0.0003048274936,"IntDry",856,4.66816579935673,5,9.30952380952381,0.00186726631974269
"69",69,69,"Seronera",5,2,1,18,-2.440998037,34.83746315,"Wild",2016,4,855.62,1.29,0.1,NA,NA,NA,NA,2.31,0.26,3.6,0.36,0.18,17.83,18.83,63.33,"SaLo",0.1775,0.0536215,0.120091155416,0.0012,NA,1,1,1,0.06456428216,0.05512702552,NA,0.000399847736,1,0.06456428216,2,0.055526873256,"IntDry",856,0.0217679076402307,0,10,8.70716305609227e-06
"70",70,70,"Seronera",5,2,2,18,-2.440844254,34.8375079,"Wild",2016,4,855.62,0.85,0.07,NA,NA,NA,NA,3.21,0.38,4.06,0.45,0.225,17.83,18.83,63.33,"SaLo",0.1775,0.0536215,0.120091155416,0.0012,NA,1,1,1,0.06456428216,0.05512702552,NA,0.000399847736,1,0.06456428216,2,0.055526873256,"IntDry",856,0.0217679076402307,0,9.02222222222222,8.70716305609227e-06
"71",71,71,"Seronera",5,2,3,18,-2.441061569,34.83729242,"Wild",2016,4,855.62,0.83,0.07,NA,NA,NA,NA,1.84,0.22,2.67,0.29,0.145,17.83,18.83,63.33,"SaLo",0.1775,0.0536215,0.120091155416,0.0012,NA,1,1,1,0.06456428216,0.05512702552,NA,0.000399847736,1,0.06456428216,2,0.055526873256,"IntDry",856,0.0217679076402307,0,9.20689655172414,8.70716305609227e-06
"72",72,72,"Seronera",5,2,4,18,-2.440916803,34.83735516,"Wild",2016,4,855.62,1.04,0.09,NA,NA,NA,NA,1.71,0.23,2.75,0.32,0.16,17.83,18.83,63.33,"SaLo",0.1775,0.0536215,0.120091155416,0.0012,NA,1,1,1,0.06456428216,0.05512702552,NA,0.000399847736,1,0.06456428216,2,0.055526873256,"IntDry",856,0.0217679076402307,0,8.59375,8.70716305609227e-06
"73",73,73,"Seronera",5,3,1,19,-2.437520351,34.83477935,"Wild",2016,6,855.62,0.74,0.07,NA,NA,NA,NA,3.62,0.43,4.36,0.5,0.25,18.95,16.6,64.45,"SaLo",0.20625,1.25e-05,0.000618228484,8e-04,1,1,NA,NA,NA,NA,0.0002675639988,0.0003506644852,1,0.0002675639988,1,0.0003506644852,"IntDry",856,2.58803992602838,3,8.72,0.00103521597041135
"74",74,74,"Seronera",5,3,2,19,-2.437411669,34.83490507,"Wild",2016,6,855.62,1.18,0.1,NA,NA,NA,NA,2.55,0.32,3.73,0.42,0.21,18.95,16.6,64.45,"SaLo",0.20625,1.25e-05,0.000618228484,8e-04,1,1,NA,NA,NA,NA,0.0002675639988,0.0003506644852,1,0.0002675639988,1,0.0003506644852,"IntDry",856,2.58803992602838,3,8.88095238095238,0.00103521597041135
"75",75,75,"Seronera",5,3,3,19,-2.437592802,34.83469854,"Wild",2016,6,855.62,1.07,0.09,NA,NA,NA,NA,2.9,0.34,3.97,0.43,0.215,18.95,16.6,64.45,"SaLo",0.20625,1.25e-05,0.000618228484,8e-04,1,1,NA,NA,NA,NA,0.0002675639988,0.0003506644852,1,0.0002675639988,1,0.0003506644852,"IntDry",856,2.58803992602838,3,9.23255813953488,0.00103521597041135
"76",76,76,"Seronera",5,3,4,19,-2.437502463,34.83463548,"Wild",2016,6,855.62,1.02,0.09,NA,NA,NA,NA,1.69,0.21,2.71,0.3,0.15,18.95,16.6,64.45,"SaLo",0.20625,1.25e-05,0.000618228484,8e-04,1,1,NA,NA,NA,NA,0.0002675639988,0.0003506644852,1,0.0002675639988,1,0.0003506644852,"IntDry",856,2.58803992602838,3,9.03333333333333,0.00103521597041135
"77",77,77,"Seronera",5,4,1,20,-2.440755517,34.85594664,"Wild",NA,NA,855.62,1.27,0.11,NA,NA,NA,NA,3.73,0.42,5,0.53,0.265,15.67,18.67,65.67,"SaLo",0.2225,NA,NA,NA,NA,NA,NA,NA,NA,0.12406866964,NA,0.001738904938,0,0,0,0.125807574578,"IntDry",856,0,0,9.43396226415094,0
"78",78,78,"Seronera",5,4,2,20,-2.440655826,34.85610833,"Wild",NA,NA,855.62,1.61,0.14,NA,NA,NA,NA,3.2,0.38,4.81,0.52,0.26,15.67,18.67,65.67,"SaLo",0.2225,NA,NA,NA,NA,NA,NA,NA,NA,0.12406866964,NA,0.001738904938,0,0,0,0.125807574578,"IntDry",856,0,0,9.25,0
"79",79,79,"Seronera",5,4,3,20,-2.440538387,34.85602726,"Wild",NA,NA,855.62,0.88,0.08,NA,NA,NA,NA,1.93,0.24,2.81,0.32,0.16,15.67,18.67,65.67,"SaLo",0.2225,NA,NA,NA,NA,NA,NA,NA,NA,0.12406866964,NA,0.001738904938,0,0,0,0.125807574578,"IntDry",856,0,0,8.78125,0
"80",80,80,"Seronera",5,4,4,20,-2.440664918,34.85607238,"Wild",NA,NA,855.62,1.42,0.1,NA,NA,NA,NA,2.43,0.31,3.85,0.41,0.205,15.67,18.67,65.67,"SaLo",0.2225,NA,NA,NA,NA,NA,NA,NA,NA,0.12406866964,NA,0.001738904938,0,0,0,0.125807574578,"IntDry",856,0,0,9.39024390243902,0
"81",81,81,"Park Nyigoti",6,1,1,21,-2.021095318,34.65711712,"Pasture",2013,8,1134.81,1.44,0.09,NA,NA,NA,131.1138434,4.12,0.35,5.56,0.44,0.22,24.33,42.33,33.33,"ClLo",0.18625,0.0511341,0.125807574578,0.0016,NA,3,NA,1,0.0008076015948,0.0016913337072,0.0019079344324,NA,0,0.0027155360272,4,0.0016913337072,"IntWet",755,2.56362073076454,3,12.6363636363636,0.00102544829230582
"82",82,82,"Park Nyigoti",6,1,2,21,-2.021249038,34.65713526,"Pasture",2013,8,1134.81,1.51,0.09,NA,NA,NA,131.1138434,2.43,0.23,3.94,0.32,0.16,24.33,42.33,33.33,"ClLo",0.18625,0.0511341,0.125807574578,0.0016,NA,3,NA,1,0.0008076015948,0.0016913337072,0.0019079344324,NA,0,0.0027155360272,4,0.0016913337072,"IntWet",755,2.56362073076454,3,12.3125,0.00102544829230582
"83",83,83,"Park Nyigoti",6,1,3,21,-2.021267042,34.65721617,"Pasture",2013,8,1134.81,1.95,0.12,NA,NA,NA,131.1138434,2.69,0.22,4.64,0.34,0.17,24.33,42.33,33.33,"ClLo",0.18625,0.0511341,0.125807574578,0.0016,NA,3,NA,1,0.0008076015948,0.0016913337072,0.0019079344324,NA,0,0.0027155360272,4,0.0016913337072,"IntWet",755,2.56362073076454,3,13.6470588235294,0.00102544829230582
"84",84,84,"Park Nyigoti",6,1,4,21,-2.021249112,34.65706335,"Pasture",2013,8,1134.81,1.33,0.08,NA,NA,NA,131.1138434,3.87,0.31,5.2,0.39,0.195,24.33,42.33,33.33,"ClLo",0.18625,0.0511341,0.125807574578,0.0016,NA,3,NA,1,0.0008076015948,0.0016913337072,0.0019079344324,NA,0,0.0027155360272,4,0.0016913337072,"IntWet",755,2.56362073076454,3,13.3333333333333,0.00102544829230582
"85",85,85,"Park Nyigoti",6,2,1,22,-2.02770971,34.65356435,"Pasture",2010,7,1134.81,1.65,0.1,NA,NA,NA,174.8184579,3.79,0.31,5.44,0.41,0.205,36.06,36.32,27.62,"Cl",0.23375,0.005547,0.0044068697344,0.0024,3,NA,1,2,0.0016857489956,0.0026105945528,0.0032093250088,0.0007729480664,4,0.0048950740044,2,0.0033835426192,"IntWet",755,3.20461849532089,3,13.2682926829268,0.00128184739812836
"86",86,86,"Park Nyigoti",6,2,2,22,-2.027592063,34.65364513,"Pasture",2010,7,1134.81,1.67,0.09,NA,NA,NA,174.8184579,4.99,0.39,6.66,0.48,0.24,36.06,36.32,27.62,"Cl",0.23375,0.005547,0.0044068697344,0.0024,3,NA,1,2,0.0016857489956,0.0026105945528,0.0032093250088,0.0007729480664,4,0.0048950740044,2,0.0033835426192,"IntWet",755,3.20461849532089,3,13.875,0.00128184739812836
"87",87,87,"Park Nyigoti",6,2,3,22,-2.027673389,34.65370813,"Pasture",2010,7,1134.81,1.56,0.09,NA,NA,NA,174.8184579,4.74,0.45,6.3,0.54,0.27,36.06,36.32,27.62,"Cl",0.23375,0.005547,0.0044068697344,0.0024,3,NA,1,2,0.0016857489956,0.0026105945528,0.0032093250088,0.0007729480664,4,0.0048950740044,2,0.0033835426192,"IntWet",755,3.20461849532089,3,11.6666666666667,0.00128184739812836
"88",88,88,"Park Nyigoti",6,2,4,22,-2.027528694,34.65370799,"Pasture",2010,7,1134.81,1.53,0.11,NA,NA,NA,174.8184579,3.23,0.33,4.76,0.44,0.22,36.06,36.32,27.62,"Cl",0.23375,0.005547,0.0044068697344,0.0024,3,NA,1,2,0.0016857489956,0.0026105945528,0.0032093250088,0.0007729480664,4,0.0048950740044,2,0.0033835426192,"IntWet",755,3.20461849532089,3,10.8181818181818,0.00128184739812836
"89",89,89,"Park Nyigoti",6,3,1,23,-2.03527059,34.65301474,"Pasture",2007,6,1134.81,1.42,0.1,NA,NA,NA,174.8184579,4.04,0.39,5.46,0.49,0.245,21.33,36.33,42.33,"ClLo",0.23875,0.0124793,0.0082786166236,0.0044,5,1,2,3,NA,0.0008603499092,0.0023855128492,0.0026215828324,7,0.0023855128492,4,0.0034819327416,"IntWet",755,5.69249111456216,6,11.1428571428571,0.00227699644582486
"90",90,90,"Park Nyigoti",6,3,2,23,-2.035143954,34.65304157,"Pasture",2007,6,1134.81,1.52,0.11,NA,NA,NA,174.8184579,4.12,0.38,5.64,0.49,0.245,21.33,36.33,42.33,"ClLo",0.23875,0.0124793,0.0082786166236,0.0044,5,1,2,3,NA,0.0008603499092,0.0023855128492,0.0026215828324,7,0.0023855128492,4,0.0034819327416,"IntWet",755,5.69249111456216,6,11.5102040816327,0.00227699644582486
"91",91,91,"Park Nyigoti",6,3,3,23,-2.035162087,34.65299665,"Pasture",2007,6,1134.81,2.68,0.18,NA,NA,NA,174.8184579,3.18,0.28,5.86,0.46,0.23,21.33,36.33,42.33,"ClLo",0.23875,0.0124793,0.0082786166236,0.0044,5,1,2,3,NA,0.0008603499092,0.0023855128492,0.0026215828324,7,0.0023855128492,4,0.0034819327416,"IntWet",755,5.69249111456216,6,12.7391304347826,0.00227699644582486
"92",92,92,"Park Nyigoti",6,3,4,23,-2.03528864,34.65305071,"Pasture",2007,6,1134.81,1.86,0.13,NA,NA,NA,174.8184579,3.58,0.34,5.44,0.47,0.235,21.33,36.33,42.33,"ClLo",0.23875,0.0124793,0.0082786166236,0.0044,5,1,2,3,NA,0.0008603499092,0.0023855128492,0.0026215828324,7,0.0023855128492,4,0.0034819327416,"IntWet",755,5.69249111456216,6,11.5744680851064,0.00227699644582486
"93",93,93,"Park Nyigoti",6,4,1,24,-2.041013427,34.6527689,"Pasture",2013,5,1134.81,1.86,0.14,NA,NA,NA,174.8184579,1.96,0.19,3.82,0.33,0.165,44.42,31.24,24.35,"Cl",0.22125,0.0040244,0.0058674455908,0.004,4,5,NA,1,0.055574619076,NA,0.0007685267664,0.0019684950272,4,0.0563431458424,6,0.0019684950272,"IntWet",755,7.51872603097105,8,11.5757575757576,0.00300749041238842
"94",94,94,"Park Nyigoti",6,4,2,24,-2.041239374,34.65290396,"Pasture",2013,5,1134.81,1.6,0.11,NA,NA,NA,174.8184579,3.93,0.33,5.53,0.44,0.22,44.42,31.24,24.35,"Cl",0.22125,0.0040244,0.0058674455908,0.004,4,5,NA,1,0.055574619076,NA,0.0007685267664,0.0019684950272,4,0.0563431458424,6,0.0019684950272,"IntWet",755,7.51872603097105,8,12.5681818181818,0.00300749041238842
"95",95,95,"Park Nyigoti",6,4,3,24,-2.041031449,34.65283184,"Pasture",2013,5,1134.81,1.2,0.08,NA,NA,NA,174.8184579,4.15,0.38,5.35,0.46,0.23,44.42,31.24,24.35,"Cl",0.22125,0.0040244,0.0058674455908,0.004,4,5,NA,1,0.055574619076,NA,0.0007685267664,0.0019684950272,4,0.0563431458424,6,0.0019684950272,"IntWet",755,7.51872603097105,8,11.6304347826087,0.00300749041238842
"96",96,96,"Park Nyigoti",6,4,4,24,-2.041185123,34.65289492,"Pasture",2013,5,1134.81,1.68,0.11,NA,NA,NA,174.8184579,5,0.43,6.68,0.54,0.27,44.42,31.24,24.35,"Cl",0.22125,0.0040244,0.0058674455908,0.004,4,5,NA,1,0.055574619076,NA,0.0007685267664,0.0019684950272,4,0.0563431458424,6,0.0019684950272,"IntWet",755,7.51872603097105,8,12.3703703703704,0.00300749041238842
"97",97,97,"Ikorongo",7,1,1,25,-2.015335694,34.66493129,"Wild",2015,11,1134.81,2.06,0.12,NA,NA,NA,131.1138434,4.57,0.35,6.63,0.47,0.235,37,38,25,"Cl",0.25875,0.0271932,0.0583116408696,0.0036,2,5,2,NA,0.09302848778,NA,0.002197775962,NA,4,0.095226263742,5,0,"IntWet",755,8.83376380346142,9,14.1063829787234,0.00353350552138457
"98",98,98,"Ikorongo",7,1,2,25,-2.015037134,34.66505683,"Wild",2015,11,1134.81,2.48,0.14,NA,NA,NA,131.1138434,5.91,0.49,8.39,0.63,0.315,37,38,25,"Cl",0.25875,0.0271932,0.0583116408696,0.0036,2,5,2,NA,0.09302848778,NA,0.002197775962,NA,4,0.095226263742,5,0,"IntWet",755,8.83376380346142,9,13.3174603174603,0.00353350552138457
"99",99,99,"Ikorongo",7,1,3,25,-2.015209078,34.66494015,"Wild",2015,11,1134.81,1.58,0.09,NA,NA,NA,131.1138434,4.68,0.42,6.26,0.51,0.255,37,38,25,"Cl",0.25875,0.0271932,0.0583116408696,0.0036,2,5,2,NA,0.09302848778,NA,0.002197775962,NA,4,0.095226263742,5,0,"IntWet",755,8.83376380346142,9,12.2745098039216,0.00353350552138457
"100",100,100,"Ikorongo",7,1,4,25,-2.015254147,34.66508401,"Wild",2015,11,1134.81,1.4,0.09,NA,NA,NA,131.1138434,3.98,0.37,5.38,0.46,0.23,37,38,25,"Cl",0.25875,0.0271932,0.0583116408696,0.0036,2,5,2,NA,0.09302848778,NA,0.002197775962,NA,4,0.095226263742,5,0,"IntWet",755,8.83376380346142,9,11.695652173913,0.00353350552138457
"101",101,101,"Ikorongo",7,2,1,26,-2.019198197,34.66398243,"Wild",2013,10,1134.81,2.2,0.13,NA,NA,NA,131.1138434,4.13,0.34,6.33,0.47,0.235,29.4,33.91,36.68,"ClLo",0.2325,0.0457456,0.095226263742,0.0024,3,NA,3,NA,0.0008162018488,NA,0.0015617843808,0.0021918751424,6,0.0023779862296,0,0.0021918751424,"IntWet",755,0.764190958273186,1,13.468085106383,0.000305676383309274
"102",102,102,"Ikorongo",7,2,2,26,-2.019315844,34.66390166,"Wild",2013,10,1134.81,1.68,0.1,NA,NA,NA,131.1138434,3.74,0.3,5.42,0.4,0.2,29.4,33.91,36.68,"ClLo",0.2325,0.0457456,0.095226263742,0.0024,3,NA,3,NA,0.0008162018488,NA,0.0015617843808,0.0021918751424,6,0.0023779862296,0,0.0021918751424,"IntWet",755,0.764190958273186,1,13.55,0.000305676383309274
"103",103,103,"Ikorongo",7,2,3,26,-2.019234296,34.66405438,"Wild",2013,10,1134.81,1.84,0.11,NA,NA,NA,131.1138434,4.88,0.41,6.72,0.52,0.26,29.4,33.91,36.68,"ClLo",0.2325,0.0457456,0.095226263742,0.0024,3,NA,3,NA,0.0008162018488,NA,0.0015617843808,0.0021918751424,6,0.0023779862296,0,0.0021918751424,"IntWet",755,0.764190958273186,1,12.9230769230769,0.000305676383309274
"104",104,104,"Ikorongo",7,2,4,26,-2.019107707,34.66403627,"Wild",2013,10,1134.81,2.3,0.14,NA,NA,NA,131.1138434,4.26,0.33,6.56,0.47,0.235,29.4,33.91,36.68,"ClLo",0.2325,0.0457456,0.095226263742,0.0024,3,NA,3,NA,0.0008162018488,NA,0.0015617843808,0.0021918751424,6,0.0023779862296,0,0.0021918751424,"IntWet",755,0.764190958273186,1,13.9574468085106,0.000305676383309274
"105",105,105,"Ikorongo",7,3,1,27,-2.02228458,34.66146878,"Wild",2013,10,1134.81,1.99,0.12,NA,NA,NA,131.1138434,3.77,0.32,5.76,0.44,0.22,29.91,37.44,32.66,"ClLo",0.22125,0.0015718,0.004569861372,0.0036,3,5,1,NA,NA,0.18720369876,0.0027184086584,NA,4,0.0027184086584,5,0.18720369876,"IntWet",755,7.72195635493126,8,13.0909090909091,0.0030887825419725
"106",106,106,"Ikorongo",7,3,2,27,-2.022194008,34.66160352,"Wild",2013,10,1134.81,1.44,0.08,NA,NA,NA,131.1138434,5.77,0.52,7.21,0.6,0.3,29.91,37.44,32.66,"ClLo",0.22125,0.0015718,0.004569861372,0.0036,3,5,1,NA,NA,0.18720369876,0.0027184086584,NA,4,0.0027184086584,5,0.18720369876,"IntWet",755,7.72195635493126,8,12.0166666666667,0.0030887825419725
"107",107,107,"Ikorongo",7,3,3,27,-2.022438244,34.66154085,"Wild",2013,10,1134.81,1.38,0.09,NA,NA,NA,131.1138434,3.48,0.31,4.86,0.4,0.2,29.91,37.44,32.66,"ClLo",0.22125,0.0015718,0.004569861372,0.0036,3,5,1,NA,NA,0.18720369876,0.0027184086584,NA,4,0.0027184086584,5,0.18720369876,"IntWet",755,7.72195635493126,8,12.15,0.0030887825419725
"108",108,108,"Ikorongo",7,3,4,27,-2.022465226,34.66168469,"Wild",2013,10,1134.81,1.38,0.09,NA,NA,NA,131.1138434,2.57,0.24,3.95,0.33,0.165,29.91,37.44,32.66,"ClLo",0.22125,0.0015718,0.004569861372,0.0036,3,5,1,NA,NA,0.18720369876,0.0027184086584,NA,4,0.0027184086584,5,0.18720369876,"IntWet",755,7.72195635493126,8,11.969696969697,0.0030887825419725
"109",109,109,"Ikorongo",7,4,1,28,-2.031807727,34.66103804,"Wild",2017,7,1134.81,2.41,0.14,NA,NA,NA,131.1138434,4.64,0.39,7.05,0.53,0.265,36.38,27.98,35.63,"Cl",0.22875,0.0727033,0.1899221074184,0.0032,7,NA,NA,1,NA,NA,NA,NA,7,0,1,0,"IntWet",755,7.72124310653146,8,13.3018867924528,0.00308849724261258
"110",110,110,"Ikorongo",7,4,2,28,-2.031653748,34.66127159,"Wild",2017,7,1134.81,2.13,0.12,NA,NA,NA,131.1138434,3.6,0.34,5.73,0.46,0.23,36.38,27.98,35.63,"Cl",0.22875,0.0727033,0.1899221074184,0.0032,7,NA,NA,1,NA,NA,NA,NA,7,0,1,0,"IntWet",755,7.72124310653146,8,12.4565217391304,0.00308849724261258
"111",111,111,"Ikorongo",7,4,3,28,-2.031816715,34.66109198,"Wild",2017,7,1134.81,1.43,0.09,NA,NA,NA,131.1138434,3.8,0.31,5.23,0.4,0.2,36.38,27.98,35.63,"Cl",0.22875,0.0727033,0.1899221074184,0.0032,7,NA,NA,1,NA,NA,NA,NA,7,0,1,0,"IntWet",755,7.72124310653146,8,13.075,0.00308849724261258
"112",112,112,"Ikorongo",7,4,4,28,-2.031744312,34.66114584,"Wild",2017,7,1134.81,1.77,0.1,NA,NA,NA,131.1138434,3.98,0.34,5.75,0.44,0.22,36.38,27.98,35.63,"Cl",0.22875,0.0727033,0.1899221074184,0.0032,7,NA,NA,1,NA,NA,NA,NA,7,0,1,0,"IntWet",755,7.72124310653146,8,13.0681818181818,0.00308849724261258
